model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
3EO4_B.pdb,150,-0.32,0.77,0.89
7C2G_G.pdb,196,-0.44,0.76,0.87
4GQM_A.pdb,105,0.12,0.8,0.8
8BUY_A.pdb,134,-1.02,0.73,0.83
2HRV_A.pdb,139,-0.75,0.74,0.84
1OSY_A.pdb,114,0.11,0.79,0.85
1IOO_A.pdb,196,-1.63,0.71,0.92
8TRS_D.pdb,131,-0.98,0.73,0.86
2M3J_A.pdb,33,-0.04,0.76,0.79
3R3T_A.pdb,92,-3.17,0.61,0.36
2ZNL_B.pdb,15,0.24,0.79,0.46
3FYB_A.pdb,93,0.27,0.81,0.85
3WGD_A.pdb,111,-0.78,0.75,0.91
1Y1X_A.pdb,182,0.28,0.79,0.92
3WGX_A.pdb,109,0.18,0.8,0.89
2OAF_A.pdb,141,0.75,0.82,0.92
1HXR_B.pdb,115,-0.32,0.77,0.82
1UII_A.pdb,61,2.8,1,0.75
6PCK_A.pdb,134,0.02,0.78,0.9
4PSS_A.pdb,158,0.74,0.82,0.87
7S7J_A.pdb,84,0.45,0.82,0.84
1YWQ_A.pdb,199,-0.18,0.77,0.94
1GXU_A.pdb,88,1.3,0.87,0.88
5VZ3_A.pdb,108,0.28,0.8,0.92
6J8L_A.pdb,132,0.54,0.81,0.92
7TJ1_A.pdb,127,-0.52,0.76,0.85
3BJ5_A.pdb,130,0.48,0.81,0.85
2P0S_B.pdb,120,-0.4,0.76,0.84
4ZHB_A.pdb,102,0.67,0.83,0.82
3KKS_A.pdb,150,-0.61,0.75,0.89
3KW6_A.pdb,70,-0.4,0.77,0.8
3ZN4_A.pdb,149,0.23,0.79,0.82
3WUZ_A.pdb,120,1.54,0.87,0.89
3PR9_A.pdb,150,2.75,0.92,0.88
2CRO_A.pdb,65,0.57,0.84,0.85
3CQR_A.pdb,171,-0.48,0.76,0.86
6SJH_A.pdb,187,-0.67,0.75,0.9
4DGH_A.pdb,124,0.71,0.82,0.9
3FAC_A.pdb,109,-0.61,0.76,0.92
8EP5_B.pdb,14,1.11,0.89,0.88
3GWM_A.pdb,129,1.04,0.84,0.83
1EXZ_B.pdb,140,-3.7,0.59,0.73
4JES_B.pdb,179,0.01,0.78,0.87
2CWZ_A.pdb,133,0.65,0.82,0.85
2NVN_A.pdb,118,-0.53,0.76,0.9
1J34_A.pdb,129,-1.2,0.72,0.84
4N8N_A.pdb,102,0.88,0.84,0.78
4C6S_A.pdb,142,0.72,0.82,0.88
7TBR_A.pdb,142,0.82,0.82,0.9
7UPO_C.pdb,76,1.89,0.92,0.81
4OUS_A.pdb,132,-0.31,0.77,0.89
2VRN_A.pdb,184,0.5,0.8,0.94
7NQ6_A.pdb,152,1.17,0.84,0.86
2AJ7_A.pdb,155,0.03,0.78,0.8
6QHG_A.pdb,115,0.92,0.84,0.91
1WQB_A.pdb,32,-2.03,0.52,0.8
4J32_B.pdb,101,-0.85,0.75,0.85
1K8U_A.pdb,87,-1.22,0.72,0.68
4KB2_A.pdb,184,0.88,0.82,0.85
