model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
4HI4_A.pdb,119,-0.24,0.77,0.85
1TT8_A.pdb,164,-0.05,0.78,0.83
3I5B_A.pdb,170,0.23,0.79,0.9
6R1D_A.pdb,106,0.02,0.79,0.89
5UUK_A.pdb,152,0.82,0.82,0.85
4JMU_A.pdb,105,-0.77,0.75,0.86
1U6T_A.pdb,121,1.23,0.85,0.86
2OQM_A.pdb,176,-0.81,0.74,0.85
4DNN_A.pdb,46,-0.22,0.76,0.57
3H3B_A.pdb,193,0.2,0.79,0.86
3IA1_A.pdb,143,1.8,0.87,0.92
7BWF_D.pdb,91,0.36,0.81,0.79
3C1L_B.pdb,177,-0.64,0.75,0.82
5O46_A.pdb,114,-1.07,0.73,0.91
3ZIA_J.pdb,36,-0.67,0.68,0.88
1WZ5_A.pdb,33,-3.3,0.37,0.48
2FA8_A.pdb,85,1.38,0.88,0.88
3IF4_A.pdb,98,-0.15,0.78,0.77
2RFM_A.pdb,183,1.66,0.85,0.94
8BDK_A.pdb,96,1.4,0.87,0.84
1WQ6_A.pdb,57,0.1,0.8,0.73
2GUI_A.pdb,176,0.5,0.8,0.86
3EXZ_A.pdb,145,-0.15,0.77,0.91
8T8K_A.pdb,183,3.51,0.93,0.86
2OT9_A.pdb,176,-0.56,0.76,0.92
2V4I_A.pdb,173,-0.91,0.74,0.85
5YIX_B.pdb,48,-0.22,0.76,0.85
4LIZ_A.pdb,137,0.12,0.79,0.83
6RY3_A.pdb,65,0.19,0.81,0.8
3I7D_A.pdb,150,0.42,0.8,0.84
7SOH_A.pdb,38,0.94,0.87,0.83
6KI2_A.pdb,144,-0.29,0.77,0.83
3V4D_D.pdb,128,-0.21,0.77,0.82
4BJS_A.pdb,53,-0.13,0.78,0.74
6CJ6_A.pdb,165,-1.92,0.69,0.89
2IB0_A.pdb,142,-1.37,0.71,0.92
3QB8_A.pdb,197,-0.36,0.77,0.95
1H20_A.pdb,39,-2.34,0.49,0.66
4HWC_A.pdb,86,0.34,0.81,0.86
4PS6_A.pdb,127,1.21,0.85,0.83
4CO8_A.pdb,98,0.46,0.82,0.86
5TDA_A.pdb,71,-0.32,0.78,0.88
6DFB_A.pdb,117,-0.84,0.74,0.88
1R4V_A.pdb,145,0.63,0.81,0.9
3STB_C.pdb,111,-2.1,0.68,0.88
2XS7_A.pdb,86,0.39,0.82,0.88
6UDV_A.pdb,155,-0.16,0.77,0.85
6BEK_A.pdb,92,1.44,0.88,0.83
