model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
5FJD_A.pdb,110,-0.51,0.76,0.87
4GCV_B.pdb,141,-0.43,0.76,0.73
5CYV_B.pdb,143,0.46,0.81,0.86
2GJ2_A.pdb,79,-0.74,0.74,0.81
7YX0_A.pdb,166,-0.36,0.77,0.79
6PCE_A.pdb,60,0.04,0.8,0.82
4FPQ_A.pdb,130,-0.83,0.74,0.88
3R0N_A.pdb,128,0.84,0.83,0.83
4NRH_B.pdb,170,-0.61,0.75,0.88
5T46_B.pdb,35,-0.49,0.7,0.69
1RJ8_A.pdb,140,-0.29,0.77,0.87
1NZE_A.pdb,112,-0.79,0.75,0.82
5N86_A.pdb,139,-0.15,0.77,0.9
3FH1_A.pdb,118,0.35,0.8,0.79
3EUD_A.pdb,97,-2.02,0.68,0.82
7VKB_B.pdb,99,-0.18,0.78,0.9
3BB5_A.pdb,97,0.03,0.8,0.8
2JDJ_A.pdb,102,-1.7,0.71,0.82
2IIH_A.pdb,146,0.6,0.81,0.82
2VY1_A.pdb,164,-0.72,0.75,0.91
1D4O_A.pdb,177,0.29,0.79,0.9
2E2D_C.pdb,180,-0.48,0.76,0.86
1PGV_A.pdb,167,-0.09,0.78,0.9
4QFT_A.pdb,171,0.0,0.78,0.74
6CZH_A.pdb,105,2.45,0.92,0.86
3LUQ_B.pdb,111,-0.89,0.74,0.88
4NDS_A.pdb,94,0.44,0.82,0.94
4RZ9_A.pdb,179,-1.34,0.72,0.83
4GV8_A.pdb,153,-0.67,0.75,0.8
2BNG_A.pdb,130,0.11,0.79,0.88
4HSP_A.pdb,147,1.51,0.86,0.95
4HQZ_A.pdb,141,1.47,0.86,0.92
3SNK_A.pdb,118,-0.24,0.77,0.89
1SBQ_A.pdb,164,-2.07,0.69,0.85
3VOR_A.pdb,182,0.02,0.78,0.86
4CGS_A.pdb,167,0.72,0.81,0.91
5Z9Z_A.pdb,98,-0.52,0.76,0.89
4SGB_I.pdb,51,1.11,0.91,0.76
5AN6_A.pdb,123,-0.39,0.76,0.8
