model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
B3EWF9.pdb,42,0.58,0.84,0.76
A5A3H1.pdb,73,-1.74,0.68,0.52
P61229.pdb,85,-3.77,0.56,0.48
P69391.pdb,56,-3.42,0.49,0.45
P0DQS8.pdb,31,-0.22,0.73,0.88
C0HLM1.pdb,69,-0.74,0.75,0.69
D2Y1X7.pdb,83,-2.79,0.62,0.5
P0DQS6.pdb,31,-0.16,0.74,0.91
P0DL49.pdb,80,-0.0,0.8,0.44
P0DRB1.pdb,63,0.56,0.84,0.7
P58927.pdb,70,-3.1,0.6,0.39
Q75WH1.pdb,99,-2.83,0.64,0.54
P0DM25.pdb,31,-0.37,0.72,0.91
P0DRB0.pdb,63,0.17,0.81,0.69
Q9NBW2.pdb,83,-1.2,0.72,0.55
Q5Y4V3.pdb,74,-1.0,0.73,0.52
P55817.pdb,59,-0.4,0.76,0.65
P0C1F4.pdb,48,-0.27,0.75,0.62
P58926.pdb,17,-2.56,0.46,0.41
P61098.pdb,46,-0.76,0.69,0.66
C3TS06.pdb,71,-2.48,0.64,0.39
Q5Y4V6.pdb,73,-0.6,0.76,0.5
C0HLR6.pdb,49,-0.17,0.76,0.59
P0DX60.pdb,78,-4.54,0.49,0.38
P11062.pdb,37,-0.37,0.72,0.6
P83608.pdb,42,-1.26,0.6,0.53
P0DL52.pdb,80,-0.21,0.78,0.47
A5A3H3.pdb,78,-2.18,0.65,0.47
P0CH70.pdb,35,0.11,0.77,0.68
P29425.pdb,82,-3.17,0.59,0.48
P60177.pdb,38,0.67,0.84,0.65
C3TS10.pdb,72,-3.37,0.58,0.38
P0DQT0.pdb,27,-0.37,0.72,0.91
P61103.pdb,87,-2.27,0.65,0.45
P61099.pdb,46,-0.74,0.7,0.69
P0DX56.pdb,67,0.18,0.81,0.75
B1NWT7.pdb,79,-0.12,0.79,0.5
P0DQS9.pdb,31,0.0,0.76,0.85
O76199.pdb,82,-3.91,0.54,0.48
P83558.pdb,121,-0.62,0.75,0.6
P83580.pdb,85,-4.29,0.53,0.53
P15968.pdb,38,0.73,0.85,0.64
C3TS08.pdb,72,-1.21,0.72,0.36
P60214.pdb,86,-2.54,0.64,0.61
E3P6S4.pdb,90,-1.13,0.73,0.44
A0A8U0LTF5.pdb,76,-2.98,0.59,0.4
P0C1F5.pdb,48,-0.58,0.72,0.61
P11061.pdb,37,0.36,0.8,0.62
A0A8U0LTF0.pdb,76,-3.06,0.59,0.41
P61102.pdb,46,-0.5,0.72,0.68
P11060.pdb,37,0.11,0.77,0.62
E7CLP2.pdb,83,-1.42,0.71,0.51
A5A3H5.pdb,78,-2.98,0.59,0.48
P0DUC2.pdb,38,-0.56,0.69,0.63
Q75WG5.pdb,70,-1.87,0.68,0.47
M1INJ1.pdb,60,-0.28,0.77,0.68
P61101.pdb,46,-0.41,0.73,0.73
P11058.pdb,37,0.03,0.76,0.62
P83644.pdb,65,-0.25,0.78,0.82
Q5Y4U6.pdb,70,-0.83,0.74,0.48
P0DQS7.pdb,31,-0.17,0.74,0.92
H1ZZI9.pdb,101,-1.38,0.72,0.54
P59367.pdb,81,-3.01,0.6,0.41
P61097.pdb,46,-0.99,0.67,0.61
P55816.pdb,58,-1.0,0.71,0.66
Q5Y4U7.pdb,70,-0.73,0.75,0.48
Q8I0K7.pdb,85,-0.4,0.77,0.68
P83974.pdb,62,-2.04,0.65,0.49
Q9UAC9.pdb,85,-1.38,0.71,0.56
D2Y1X8.pdb,83,-2.58,0.63,0.47
P30832.pdb,48,-0.38,0.74,0.7
A5A3H2.pdb,78,-2.5,0.62,0.5
Q5Y4V2.pdb,74,-0.98,0.73,0.49
C0HLM0.pdb,69,-0.65,0.75,0.71
P69392.pdb,13,-2.25,0.5,0.27
A5A3H4.pdb,78,-2.3,0.64,0.47
P0DUC1.pdb,38,-0.09,0.75,0.64
P01528.pdb,47,0.84,0.88,0.67
P0C1R3.pdb,42,-1.22,0.6,0.6
P83259.pdb,37,0.07,0.77,0.63
P83258.pdb,36,0.31,0.8,0.64
C3TS04.pdb,71,-2.78,0.62,0.33
P59368.pdb,82,-7.13,0.33,0.5
P60276.pdb,62,-0.07,0.79,0.81
A0A088BP94.pdb,73,-2.31,0.65,0.59
P81504.pdb,61,0.62,0.84,0.86
P15967.pdb,36,0.5,0.82,0.61
Q4LCS8.pdb,82,-0.92,0.74,0.43
Q5Y4V8.pdb,71,-2.53,0.63,0.45
P0C2A0.pdb,22,-0.63,0.69,0.51
P83557.pdb,38,-0.26,0.73,0.53
P61100.pdb,46,-0.35,0.74,0.68
P61232.pdb,29,-0.77,0.67,0.72
P0DQS4.pdb,31,-0.33,0.72,0.9
Q5Y4U8.pdb,73,-0.43,0.77,0.49
