model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
B3EWF9.pdb,42,0.61,0.84,0.75
A5A3H1.pdb,73,-2.46,0.64,0.51
P61229.pdb,85,-6.17,0.41,0.56
P69391.pdb,56,-8.02,0.08,0.46
P0DQS8.pdb,31,-2.19,0.5,0.52
C0HLM1.pdb,69,-0.43,0.77,0.68
D2Y1X7.pdb,83,-5.31,0.46,0.48
P0DQS6.pdb,31,-4.73,0.2,0.36
P0DL49.pdb,80,-3.39,0.58,0.44
P0DRB1.pdb,63,-0.7,0.74,0.66
P58927.pdb,70,-7.3,0.33,0.33
Q75WH1.pdb,99,-7.88,0.36,0.54
P0DM25.pdb,31,-0.97,0.65,0.8
P0DRB0.pdb,63,-0.18,0.78,0.67
Q9NBW2.pdb,83,-1.57,0.7,0.54
Q5Y4V3.pdb,74,-2.04,0.66,0.49
P55817.pdb,59,-2.84,0.57,0.63
P0C1F4.pdb,48,0.56,0.85,0.55
P58926.pdb,17,-6.45,0.0,0.2
P61098.pdb,46,-3.6,0.36,0.37
C3TS06.pdb,71,-7.49,0.32,0.38
Q5Y4V6.pdb,73,-0.88,0.74,0.49
C0HLR6.pdb,49,-1.17,0.65,0.55
P0DX60.pdb,78,-3.81,0.54,0.34
P11062.pdb,37,0.16,0.78,0.6
P83608.pdb,42,-3.57,0.3,0.31
P0DL52.pdb,80,-2.55,0.63,0.46
A5A3H3.pdb,78,-6.25,0.37,0.49
P0CH70.pdb,35,-0.3,0.73,0.65
P29425.pdb,82,-3.96,0.54,0.52
P60177.pdb,38,-0.09,0.75,0.62
C3TS10.pdb,72,-7.2,0.34,0.36
P0DQT0.pdb,27,-0.39,0.71,0.85
P61103.pdb,87,-5.29,0.47,0.46
P61099.pdb,46,-3.12,0.42,0.6
P0DX56.pdb,67,0.8,0.85,0.75
B1NWT7.pdb,79,-2.41,0.63,0.46
P0DQS9.pdb,31,-0.08,0.75,0.78
O76199.pdb,82,-4.44,0.51,0.5
P83558.pdb,121,-5.26,0.5,0.59
P83580.pdb,85,-6.31,0.4,0.49
P15968.pdb,38,0.42,0.81,0.61
C3TS08.pdb,72,-5.17,0.47,0.35
P60214.pdb,86,-3.51,0.58,0.59
E3P6S4.pdb,90,-2.28,0.66,0.38
A0A8U0LTF5.pdb,76,-3.77,0.54,0.34
P0C1F5.pdb,48,-1.59,0.6,0.57
P11061.pdb,37,-0.12,0.75,0.62
A0A8U0LTF0.pdb,76,-4.09,0.52,0.44
P61102.pdb,46,-0.78,0.69,0.61
P11060.pdb,37,-0.63,0.69,0.59
E7CLP2.pdb,83,-2.41,0.64,0.5
A5A3H5.pdb,78,-6.9,0.33,0.47
P0DUC2.pdb,38,-2.74,0.44,0.56
Q75WG5.pdb,70,-3.72,0.56,0.42
M1INJ1.pdb,60,-0.94,0.72,0.65
P61101.pdb,46,-1.7,0.59,0.57
P11058.pdb,37,-0.47,0.71,0.6
P83644.pdb,65,-0.03,0.8,0.82
Q5Y4U6.pdb,70,-1.28,0.71,0.48
P0DQS7.pdb,31,-0.08,0.75,0.84
H1ZZI9.pdb,101,-1.74,0.7,0.56
P59367.pdb,81,-5.41,0.44,0.46
P61097.pdb,46,-1.93,0.56,0.57
P55816.pdb,58,-0.73,0.73,0.65
Q5Y4U7.pdb,70,-1.08,0.73,0.49
Q8I0K7.pdb,85,-0.71,0.75,0.59
P83974.pdb,62,-5.02,0.43,0.49
Q9UAC9.pdb,85,-1.16,0.72,0.57
D2Y1X8.pdb,83,-6.35,0.4,0.48
P30832.pdb,48,-0.28,0.75,0.68
A5A3H2.pdb,78,-4.08,0.52,0.47
Q5Y4V2.pdb,74,-1.57,0.69,0.47
C0HLM0.pdb,69,-0.08,0.79,0.71
P69392.pdb,13,-1.64,0.57,0.26
A5A3H4.pdb,78,-2.86,0.6,0.48
P0DUC1.pdb,38,-2.59,0.46,0.56
P01528.pdb,47,-0.08,0.77,0.55
P0C1R3.pdb,42,-3.05,0.37,0.43
P83259.pdb,37,-0.06,0.75,0.61
P83258.pdb,36,-0.07,0.75,0.61
C3TS04.pdb,71,-8.56,0.25,0.24
P59368.pdb,82,-8.23,0.26,0.52
P60276.pdb,62,-0.13,0.79,0.8
A0A088BP94.pdb,73,-4.09,0.53,0.57
P81504.pdb,61,-0.06,0.79,0.76
P15967.pdb,36,-0.3,0.73,0.58
Q4LCS8.pdb,82,-3.02,0.6,0.42
Q5Y4V8.pdb,71,-1.03,0.73,0.47
P0C2A0.pdb,22,-2.94,0.41,0.31
P83557.pdb,38,-1.12,0.63,0.53
P61100.pdb,46,-0.32,0.74,0.59
P61232.pdb,29,-0.52,0.7,0.72
P0DQS4.pdb,31,-3.39,0.36,0.32
Q5Y4U8.pdb,73,-0.5,0.76,0.5
